"Име на кандидат/член на ИнК","Предоставил средства на","От дата","Вид","Размер","Стойност","Декл."
"Николай Томитов","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","06.04.2026","Кандидат","120.00","0.00",""
"Бойко Рашков","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","07.04.2026","Кандидат","5000.00","0.00",""
"Деница Симеонова","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","09.04.2026","Кандидат","445.00","0.00",""
"Виктор Стоянов","КП АНТИКОРУПЦИОНЕН БЛОК - Коалиция","07.04.2026","Кандидат","0.00","30.00",""
"Зорница Стратиева","КП АНТИКОРУПЦИОНЕН БЛОК - Коалиция","10.04.2026","Кандидат","500.00","0.00",""
"борислав  тушев","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","01.04.2026","Кандидат","0.00","300.00",""
"владимир раков","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","20.03.2026","Кандидат","0.00","310.00",""
"Людмил Лазаров","КП СИЯНИЕ - Коалиция","06.04.2026","Кандидат","2600.00","0.00",""
"Георги Георгиев","КП СИНЯ БЪЛГАРИЯ - Коалиция","14.04.2026","Кандидат","560.00","0.00",""
"Емил Димитров","КП СИНЯ БЪЛГАРИЯ - Коалиция","14.04.2026","Кандидат","5000.00","0.00",""
"Жечо Петров","КП СИНЯ БЪЛГАРИЯ - Коалиция","14.04.2026","Кандидат","0.00","79.25",""
"Георги чакъров","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","15.04.2026","Кандидат","0.00","360.00",""
"иво  дочев","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","30.03.2026","Кандидат","0.00","200.00",""
"ИВАН  ИВАНОВ","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","15.04.2026","Кандидат","300.00","0.00",""
"АДРИАН ТОДОРОВ","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","15.04.2026","Кандидат","300.00","0.00",""
"Кристиян    Пеев","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","15.04.2026","Кандидат","500.00","0.00",""
"Емил Георгиев","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","15.04.2026","Кандидат","500.00","0.00",""
"Микаел Чакълджиян","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","15.04.2026","Кандидат","500.00","0.00",""
"Валери Иванов","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","15.04.2026","Кандидат","0.00","279.13",""
"Елисавета Досева","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","15.04.2026","Кандидат","500.00","0.00",""
"Гергана Алексова","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","15.04.2026","Кандидат","500.00","0.00",""
"елена нонева","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","15.04.2026","Кандидат","0.00","30.00",""
"иво  доцов","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","30.03.2026","Кандидат","0.00","200.00",""
"Лина  Стоянова","КП СИЯНИЕ - Коалиция","16.04.2026","Кандидат","4500.00","0.00",""
"стоянка   балова цветкова","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","15.04.2026","Кандидат","0.00","300.00",""
"николай станчев","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","23.03.2026","Кандидат","380.00","0.00",""
"димитър  тодоров","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","25.03.2026","Кандидат","600.00","0.00",""
"даниел  димов","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","24.03.2026","Кандидат","25.00","0.00",""
"георги  митов","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","14.03.2026","Кандидат","14.00","0.00",""
"георги  чакъров","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","23.03.2026","Кандидат","310.00","0.00",""
"ИВО АНГЕЛОВ","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","17.04.2026","Кандидат","1200.00","0.00",""
"Васил Пандов","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","14.04.2026","Кандидат","6000.00","0.00",""
"Ивайло Шотев","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","16.04.2026","Кандидат","10000.00","0.00",""
"Петър  Танев","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","14.04.2026","Кандидат","1500.00","0.00",""
"Деница Симеонова","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","14.04.2026","Кандидат","0.00","1000.00",""
"Айлин Пехливанова","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","14.04.2026","Кандидат","0.00","65.00",""
"Велислав Величков","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","14.04.2026","Кандидат","0.00","100.00",""
"милен трифонов","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","02.04.2026","Кандидат","0.00","140.00",""
"димитър  стоянов","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","07.04.2026","Кандидат","3000.00","0.00",""
"георги  караиванов","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","09.04.2026","Кандидат","300.00","0.00",""
"димитър  стоянов ","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","08.03.2026","Кандидат","0.00","291.00",""
"Виктор Стоянов","КП АНТИКОРУПЦИОНЕН БЛОК - Коалиция","15.04.2026","Кандидат","81.60","0.00",""
"мариям  сакъз","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","15.04.2026","Кандидат","600.00","0.00",""
"иван димитров ","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","15.04.2026","Кандидат","756.00","0.00",""
"румен  янков","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","15.04.2026","Кандидат","550.00","0.00",""
"весела  момчена - таун","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","15.04.2026","Кандидат","270.00","0.00",""
"атанас калчев","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","15.04.2026","Кандидат","400.00","0.00",""
"Христо  Стоянов","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","17.04.2026","Кандидат","0.00","1962.00",""
"Айлин Пехливанова","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","17.04.2026","Кандидат","0.00","3981.60",""
"Димитър Сяров","КП СИНЯ БЪЛГАРИЯ - Коалиция","21.04.2026","Кандидат","400.00","0.00",""
"Людмил Лазаров","КП СИЯНИЕ - Коалиция","18.04.2026","Кандидат","1500.00","0.00",""
"Илиан  Точев","КП СИЯНИЕ - Коалиция","18.04.2026","Кандидат","1000.00","0.00",""
"иван  каменов","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","03.04.2026","Кандидат","0.00","200.00",""
"Галин  Кърцов","КП ТРЕТИ МАРТ - Коалиция","22.04.2026","Кандидат","0.00","150.00",""
"Румен Мунтянов","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","25.03.2026","Кандидат","4018.00","0.00",""
"Мария Михайлова","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","30.03.2026","Кандидат","500.00","0.00",""
"Васил Филев","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","30.03.2026","Кандидат","500.00","0.00",""
"Добромир Стоянов","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","30.03.2026","Кандидат","200.00","0.00",""
"Рашид Узунов","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","30.03.2026","Кандидат","500.00","0.00",""
"КОСЬО КОСЕВ","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","30.03.2026","Кандидат","100.00","0.00",""
"Бетина Иванова","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","06.04.2026","Кандидат","600.00","0.00",""
"Крум Неделков","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","15.04.2026","Кандидат","550.00","0.00",""
"Слави Василев","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","30.03.2026","Кандидат","15000.00","0.00",""
"Слави Василев","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","16.03.2026","Кандидат","2000.00","0.00",""
"Дияна Чаушева","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","17.04.2026","Кандидат","510.00","0.00",""
"Борислава Чаталбашева","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","17.04.2026","Кандидат","250.00","0.00",""
"Севдалин Хъшинов","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","17.04.2026","Кандидат","510.00","0.00",""
"Памела Великова","КП СИЯНИЕ - Коалиция","20.04.2026","Кандидат","2400.00","0.00",""
"Ивелин Томов","КП СИЯНИЕ - Коалиция","20.04.2026","Кандидат","4000.00","0.00",""
"Димитър Данчев","КП СИЯНИЕ - Коалиция","18.04.2026","Кандидат","5000.00","0.00",""
"Пиер Лалев","КП СИЯНИЕ - Коалиция","18.04.2026","Кандидат","2500.00","0.00",""
"Николай  Попов","КП СИЯНИЕ - Коалиция","03.04.2026","Кандидат","2000.00","0.00",""
"Николай  Попов","КП СИЯНИЕ - Коалиция","18.04.2026","Кандидат","5000.00","0.00",""
"Николай  Попов","КП СИЯНИЕ - Коалиция","18.04.2026","Кандидат","4900.00","0.00",""
"Даниела  Димитрова","КП СИЯНИЕ - Коалиция","20.04.2026","Кандидат","4400.00","0.00",""
"Памела Великова","КП СИЯНИЕ - Коалиция","20.04.2026","Кандидат","2400.00","0.00",""
