"Име на кандидат/член на ИнК","Предоставил средства на","От дата","Вид","Размер  1","Стойност 2","Декл. 3"
"Милена Данкова","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Милко Панов","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","500.00 лв.","0.00 лв.",""
"Мира Каленицова","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Мира Каленицова","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","480.00 лв.","0.00 лв.",""
"Михаил Фурнаджиев","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","900.00 лв.","0.00 лв.",""
"Момчил Ненов","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","900.00 лв.","0.00 лв.",""
"НИКОЛАЙ ДИМИТРОВ","ВЪЗРАЖДАНЕ - Партия","02.10.2024","Кандидат","10000.00 лв.","0.00 лв.","Свали"
"Надя Петрова","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ – НОВО НАЧАЛО - Коалиция","20.09.2024","Кандидат","10000.00 лв.","0.00 лв.","Свали"
"Наталия Киселова","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Небие Кабак","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ – НОВО НАЧАЛО - Коалиция","25.09.2024","Кандидат","50000.00 лв.","0.00 лв.","Свали"
"Небие Кабак","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ – НОВО НАЧАЛО - Коалиция","20.09.2024","Кандидат","10000.00 лв.","0.00 лв.","Свали"
"Неделин Марков","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Неделчо Маринов","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","900.00 лв.","0.00 лв.",""
"Неждет Шабан","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ – НОВО НАЧАЛО - Коалиция","20.09.2024","Кандидат","10000.00 лв.","0.00 лв.","Свали"
"Никола Янков","СИНЯ БЪЛГАРИЯ - Коалиция","","Кандидат","2500.00 лв.","0.00 лв.","Свали"
"Никола ѝЯнков","СИНЯ БЪЛГАРИЯ - Коалиция","","Кандидат","15000.00 лв.","0.00 лв.","Свали"
"Николай Димов","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Николай Златарски","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ – НОВО НАЧАЛО - Коалиция","26.09.2024","Кандидат","50000.00 лв.","0.00 лв.","Свали"
"Николай Златарски","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ – НОВО НАЧАЛО - Коалиция","20.09.2024","Кандидат","10000.00 лв.","0.00 лв.","Свали"
"Николай Минков","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Николай Томитов","ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","08.10.2024","","0.00 лв.","960.00 лв.","Свали"
"Николай Томитов","ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","03.10.2024","Кандидат","0.00 лв.","840.00 лв.","Свали"
"Николай Томитов","ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","03.10.2024","","0.00 лв.","990.00 лв.","Свали"
"Николай Тумбев","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Нина Димитрова","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","990.00 лв.","0.00 лв.","Свали"
"Нора Стоянова","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","900.00 лв.","0.00 лв.",""
"Огнян Ценков","СВОБОДНИ ИЗБИРАТЕЛИ - Коалиция","","Кандидат","1964.80 лв.","0.00 лв.","Свали"
"Орлин Петков","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"ПЕТЪР КАРАНАЧЕВ","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","990.00 лв.","0.00 лв.","Свали"
"Пенчо Христов","СИНЯ БЪЛГАРИЯ - Коалиция","","Кандидат","1150.00 лв.","0.00 лв.","Свали"
"Петър Дяков","СВОБОДНИ ИЗБИРАТЕЛИ - Коалиция","","Кандидат","2000.00 лв.","0.00 лв.","Свали"
"Петя  Цанкова","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Пламен Лазаров","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Радостина Василева-Амзова","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","900.00 лв.","0.00 лв.",""
"Рена Стефанова","ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","24.10.2024","","405.00 лв.","0.00 лв.","Свали"
"Росен Манасиев","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Сабахтин Гюкче","ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","14.10.2024","","200.00 лв.","0.00 лв.","Свали"
"Росица Пандова-Йовкова","ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","10.10.2024","","1380.00 лв.","0.00 лв.","Свали"
"Росица Пандова-Йовкова","ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","09.10.2024","","160.00 лв.","0.00 лв.","Свали"
"Росица Пандова-Йовкова","ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","07.10.2024","","2700.00 лв.","0.00 лв.","Свали"
"Росица Пандова-Йовкова","ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","07.10.2024","","1400.00 лв.","0.00 лв.","Свали"
"Росица Рачева","СИНЯ БЪЛГАРИЯ - Коалиция","","Кандидат","5000.00 лв.","0.00 лв.","Свали"
"Румен Дечев","Чавдар Иванов Попов - Инициативен комитет","","Член на инициативен комитет","200.00 лв.","0.00 лв.",""
"Руси Статков","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"СЛАВЧО КРУМОВ","ВЪЗРАЖДАНЕ - Партия","02.10.2024","Кандидат","10000.00 лв.","0.00 лв.","Свали"
"СТАНКО  ЩЕРЕВ","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","500.00 лв.","0.00 лв.","Свали"
"СТЕФАН СТЕФАНОВ","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"СТОЯН ЛЮЦКАНОВ","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","850.00 лв.","0.00 лв.",""
"Сабахтин Гьокче","ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","14.10.2024","","0.00 лв.","300.00 лв.","Свали"
"Сабахтин Гьокче","ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","11.10.2024","","3500.00 лв.","0.00 лв.","Свали"
"Сабахтин Гьокче","ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","09.10.2024","","0.00 лв.","700.00 лв.","Свали"
"СТОЯН ТАСЛАКОВ","ВЪЗРАЖДАНЕ - Партия","01.10.2024","Кандидат","10000.00 лв.","0.00 лв.","Свали"
"Сабахтин Гьокче","ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","25.09.2024","Кандидат","3000.00 лв.","0.00 лв.","Свали"
"Сава Арабаджиев","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Сава Диков","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Светослав  Стойков","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Свтослав Велков","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Силвия Иванова","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","900.00 лв.","0.00 лв.",""
"Симона Петрова","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Славена Висулчева","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Станислав Балабанов","ИМА ТАКЪВ НАРОД - Партия","18.10.2024","Кандидат","3000.00 лв.","0.00 лв.","Свали"
"Станислав Богдански","ИМА ТАКЪВ НАРОД - Партия","07.10.2024","Кандидат","2000.00 лв.","0.00 лв.","Свали"
"Станислав Анастасов","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ – НОВО НАЧАЛО - Коалиция","27.09.2024","Кандидат","15000.00 лв.","0.00 лв.","Свали"
"Станислав Анастасов","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ – НОВО НАЧАЛО - Коалиция","20.09.2024","Кандидат","10000.00 лв.","0.00 лв.","Свали"
"Станислав Богдански","ИМА ТАКЪВ НАРОД - Партия","09.09.2024","Кандидат","2000.00 лв.","0.00 лв.","Свали"
"Стефан Куртев","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Стефан Стойчев","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","900.00 лв.","0.00 лв.",""
"Стефан Щилиянов","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","900.00 лв.","0.00 лв.",""
"Стоянка Коева","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","900.00 лв.","0.00 лв.",""
"Теодор Шойлеков","СВОБОДНИ ИЗБИРАТЕЛИ - Коалиция","","Кандидат","3000.00 лв.","0.00 лв.","Свали"
"Тодор Моралийски","ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","24.10.2024","","0.00 лв.","980.00 лв.","Свали"
"Тодор Моралийски","ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","24.10.2024","","0.00 лв.","980.00 лв.","Свали"
"Тони Попов","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Тошко Николов","СВОБОДНИ ИЗБИРАТЕЛИ - Коалиция","","Кандидат","1620.00 лв.","0.00 лв.","Свали"
"Тошко Хаджитодоров","ИМА ТАКЪВ НАРОД - Партия","17.10.2024","Кандидат","5000.00 лв.","0.00 лв.","Свали"
"Трендафил Величков","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Христо Даскалов","ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","05.10.2024","","0.00 лв.","1134.00 лв.","Свали"
"Христо Даскалов","ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","05.10.2024","","0.00 лв.","1140.00 лв.","Свали"
"Фатима Йълдъс","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ – НОВО НАЧАЛО - Коалиция","25.09.2024","Кандидат","10000.00 лв.","0.00 лв.","Свали"
"Халил Летифов","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ – НОВО НАЧАЛО - Коалиция","25.09.2024","","10000.00 лв.","0.00 лв.","Свали"
"Хамид Хамид","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ – НОВО НАЧАЛО - Коалиция","25.09.2024","Кандидат","30000.00 лв.","0.00 лв.","Свали"
"Фатима Йълдъс","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ – НОВО НАЧАЛО - Коалиция","20.09.2024","Кандидат","10000.00 лв.","0.00 лв.","Свали"
"Халил Летифов","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ – НОВО НАЧАЛО - Коалиция","20.09.2024","Кандидат","10000.00 лв.","0.00 лв.","Свали"
"Хамид Хамид","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ – НОВО НАЧАЛО - Коалиция","20.09.2024","Кандидат","10000.00 лв.","0.00 лв.","Свали"
"Христо Христов","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","900.00 лв.","0.00 лв.",""
"Хюсеин Хафъзов","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ – НОВО НАЧАЛО - Коалиция","20.09.2024","Кандидат","10000.00 лв.","0.00 лв.","Свали"
"Цветан Георгиев","СИНЯ БЪЛГАРИЯ - Коалиция","","Кандидат","500.00 лв.","0.00 лв.","Свали"
"Цветан Енчев","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ – НОВО НАЧАЛО - Коалиция","20.09.2024","Кандидат","10000.00 лв.","0.00 лв.","Свали"
"Чавдар Попов","Чавдар Иванов Попов - Инициативен комитет","","Кандидат","0.00 лв.","258.00 лв.",""
"Чавдар Попов","Чавдар Иванов Попов - Инициативен комитет","","Кандидат","0.00 лв.","27.64 лв.",""
"Чавдар Попов","Чавдар Иванов Попов - Инициативен комитет","","Кандидат","0.00 лв.","10.00 лв.",""
"Чавдар Попов","Чавдар Иванов Попов - Инициативен комитет","","Кандидат","0.00 лв.","9.95 лв.",""
"Чавдар Попов","Чавдар Иванов Попов - Инициативен комитет","","Кандидат","0.00 лв.","213.55 лв.",""
"Шендоан Халит","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ – НОВО НАЧАЛО - Коалиция","20.09.2024","Кандидат","10000.00 лв.","0.00 лв.","Свали"
